"tag_id","obs_site","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"3DD.00774EC44E","LGRLDR","Summer","RLCTRP","Upper Salmon",2014-05-09,"Recapture",2017-07-18 10:00:00,"H",NA,FALSE,"sockeye"
"3DD.00774EC44E","GRA","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-17 17:04:38,"H",NA,FALSE,"sockeye"
"3DD.00774EC44E","GOA","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-15 19:00:58,"H",NA,FALSE,"sockeye"
"3DD.00774EC44E","LMA","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-14 10:37:58,"H",NA,FALSE,"sockeye"
"3DD.00774EC44E","JDALD2","Summer","RLCTRP","Upper Salmon",2014-05-09,"Passive Recapture",2017-07-09 06:52:18,"H",NA,FALSE,"sockeye"
"3DD.00774EC44E","JDALD1","Summer","RLCTRP","Upper Salmon",2014-05-09,"Passive Recapture",2017-07-09 14:18:02,"H",NA,FALSE,"sockeye"
"3DD.00774EC44E","MC1","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-11 18:13:26,"H",NA,FALSE,"sockeye"
"3DD.00774EC44E","ICH","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-13 13:43:10,"H",NA,FALSE,"sockeye"
"3DD.00774EC44E","GRA","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-17 18:50:08,"H",NA,FALSE,"sockeye"
"3DD.00774EC44E","TD1","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-08 11:29:44,"H",NA,FALSE,"sockeye"
"3DD.00774EC44E","BO4","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-06 16:29:32,"H",NA,FALSE,"sockeye"
"3DD.00774EC44E","USE","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-08-11 01:21:41,"H",NA,FALSE,"sockeye"
"3DD.00774EC44E","LMA","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-14 10:37:57,"H",NA,FALSE,"sockeye"
"3DD.00774EC44E","BO4","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-06 16:29:33,"H",NA,FALSE,"sockeye"
"3DD.00774EC44E","TD1","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-08 11:29:45,"H",NA,FALSE,"sockeye"
"3DD.00774EC44E","GRA","Summer","RLCTRP","Upper Salmon",2014-05-09,"Observation",2017-07-18 11:41:12,"H",NA,FALSE,"sockeye"
"3DD.00774F3D1C","MC1","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-10 22:07:09,"H",NA,FALSE,"sockeye"
"3DD.00774F3D1C","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-07 05:07:12,"H",NA,FALSE,"sockeye"
"3DD.00774F3D1C","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-07 05:07:13,"H",NA,FALSE,"sockeye"
"3DD.00774F3D1C","STL","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-09-08 02:44:26,"H",NA,FALSE,"sockeye"
"3DD.00774F3D1C","GRA","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-15 12:16:58,"H",NA,FALSE,"sockeye"
"3DD.00774F3D1C","TD2","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-08 09:25:33,"H",NA,FALSE,"sockeye"
